Species_Name	EMBL	Phylum	p.value	GENOME_GC	GENOME_Size	GC_Core_1.21_CDS%	GC_Rfam_Core%	Avoidance_Group	Intrinsic
Streptococcus pneumoniae TIGR4	AE005672.3	Firmicutes	1.76E-37	0.4	2160842	31.01791175	53.24161327	Avoidance	8.78E-19
Caulobacter crescentus CB15	AE005673.1	Proteobacteria	0.8811694493	0.67	4016947	56.47451963	59.9855413	Non-Avoidance	0.0004131267
Shigella flexneri 2a str. 301	AE005674.2	Proteobacteria	3.28E-18	0.51	4607202	41.89640769	57.22849575	Avoidance	3.18E-21
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	AE006468.1	Proteobacteria	0.002474609529	0.52	4857432	42.35588972	57.28414443	Avoidance	8.50E-19
Chlorobium tepidum TLS	AE006470.1	Chlorobi	0.9998137025	0.57	2154946	42.14075011	55.09501966	Non-Avoidance	1.64E-17
Rickettsia conorii str. Malish 7	AE006914.1	Proteobacteria	0.0006115936763	0.32	1268755	28.44036697	52.06744279	Avoidance	1.40E-18
Streptococcus pneumoniae R6	AE007317.1	Firmicutes	1.13E-25	0.4	2038615	32.42424242	53.24923547	Avoidance	5.90E-17
Agrobacterium tumefaciens str. C58	AE007869.2	Proteobacteria	0.01778448011	0.59	2841580	47.14714715	58.7628866	Avoidance	8.78E-15
Thermoanaerobacter tengcongensis MB4	AE008691.1	Firmicutes	9.19E-08	0.38	2689445	38.0952381	59.49208993	Avoidance	1.99E-24
Zymomonas mobilis subsp. mobilis ZM4	AE008692.2	Proteobacteria	3.26E-05	0.46	2056363	46.03174603	58.01834862	Avoidance	3.98E-15
Brucella melitensis bv. 1 str. 16M	AE008917.1	Proteobacteria	1.65E-10	0.57	2117144	49.67824968	59.32699342	Avoidance	1.61E-10
Xanthomonas campestris pv. campestris str. ATCC 33913	AE008922.1	Proteobacteria	0.766659771	0.65	5076188	53.05520438	59.14451958	Non-Avoidance	3.51E-06
Xanthomonas axonopodis pv. citri str. 306	AE008923.1	Proteobacteria	0.9174439054	0.65	5175554	52.33881163	59.21154742	Non-Avoidance	2.90E-08
Chlamydophila pneumoniae TW-183	AE009440.1	Chlamydiae	3.50E-15	0.41	1225935	35.20408163	50.77967345	Avoidance	2.72E-17
Xylella fastidiosa Temecula1	AE009442.1	Proteobacteria	0.0553819321	0.52	2519802	44.92203961	57.83431585	Non-Avoidance	4.80E-17
Streptococcus agalactiae 2603V/R	AE009948.1	Firmicutes	1.21E-28	0.36	2160267	30.31891656	52.25311601	Avoidance	5.40E-19
Streptococcus pyogenes MGAS8232	AE009949.1	Firmicutes	2.53E-46	0.39	1895017	31.74603175	52.54691689	Avoidance	2.24E-18
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	AE009951.2	Fusobacteria	0.0002880386407	0.27	2174500	27.15572716	50.66986603	Avoidance	2.06E-20
Yersinia pestis KIM10+	AE009952.1	Proteobacteria	1.00E-10	0.48	4600755	41.6988417	56.73091992	Avoidance	1.00E-20
Leptospira interrogans serovar Lai str. 56601	AE010300.2	Spirochaetes	0.0002078003645	0.35	4338762	35.58441558	53.90098247	Avoidance	7.43E-20
Buchnera aphidicola str. Sg (Schizaphis graminum)	AE013218.1	Proteobacteria	7.18E-10	0.25	641454	26.05042017	49.73219599	Avoidance	9.55E-19
Xanthomonas oryzae pv. oryzae KACC10331	AE013598.1	Proteobacteria	2.11E-09	0.64	4941439	52.84450063	59.18043202	Avoidance	9.17E-07
Shigella flexneri 2a str. 2457T	AE014073.1	Proteobacteria	6.52E-18	0.51	4599354	41.93817878	57.37157177	Avoidance	1.21E-21
Streptococcus pyogenes MGAS315	AE014074.1	Firmicutes	3.04E-23	0.39	1900521	32.85277414	52.47620897	Avoidance	4.05E-17
Escherichia coli CFT073	AE014075.1	Proteobacteria	1.13E-14	0.5	5231428	41.95624196	57.66981556	Avoidance	1.24E-20
Streptococcus mutans UA159	AE014133.2	Firmicutes	2.32E-33	0.37	2032925	31.21693122	53.00792507	Avoidance	7.40E-20
Tropheryma whipplei str. Twist	AE014184.1	Actinobacteria	2.15E-10	0.46	927303	45.65312363	59.60851064	Avoidance	8.41E-16
Brucella suis 1330	AE014291.4	Proteobacteria	5.80E-12	0.57	2107794	47.61904762	59.28332714	Avoidance	2.53E-14
Bifidobacterium longum NCC2705	AE014295.3	Actinobacteria	1.93E-12	0.6	2256640	49.93324433	59.45307225	Avoidance	5.52E-14
Shewanella oneidensis MR-1	AE014299.1	Proteobacteria	1.33E-12	0.46	4969803	39.57016435	56.51260504	Avoidance	1.42E-23
Salmonella enterica subsp. enterica serovar Typhi str. Ty2	AE014613.1	Proteobacteria	0.001689742707	0.52	4791961	41.85463659	57.33815211	Avoidance	3.52E-19
Mycoplasma gallisepticum str. R(low)	AE015450.2	Tenericutes	0.07526354607	0.31	1012800	26.95238095	48.42510764	Non-Avoidance	8.10E-18
Pseudomonas putida KT2440	AE015451.1	Proteobacteria	0.7476154336	0.62	6181863	48.75684787	56.83767872	Non-Avoidance	3.38E-09
Porphyromonas gingivalis W83	AE015924.1	Bacteroidetes	2.30E-13	0.48	2343476	36.64021164	54.40613027	Avoidance	1.41E-19
Chlamydophila caviae GPIC	AE015925.1	Chlamydiae	1.38E-12	0.39	1173390	35.77863578	51.16669778	Avoidance	1.33E-17
Bacteroides thetaiotaomicron VPI-5482	AE015928.1	Bacteroidetes	0.01042080445	0.43	6260361	30.6122449	53.23108737	Avoidance	2.85E-23
Staphylococcus epidermidis ATCC 12228	AE015929.1	Firmicutes	2.34E-19	0.32	2499279	31.57443157	52.4493378	Avoidance	1.35E-22
Vibrio vulnificus CMCP6	AE016795.3	Proteobacteria	1.20E-25	0.46	3281866	38.97243108	56.28606134	Avoidance	1.23E-23
Leifsonia xyli subsp. xyli str. CTCB07	AE016822.1	Actinobacteria	0.999414938	0.68	2584158	60.06006006	60.22964509	Non-Avoidance	0.3076366
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	AE016823.1	Spirochaetes	0.02930282521	0.35	4277185	36.19047619	53.90098247	Avoidance	1.26E-19
Chromobacterium violaceum ATCC 12472	AE016825.1	Proteobacteria	0.007658180521	0.65	4751080	47.95321637	58.56255546	Avoidance	1.50E-14
Mannheimia succiniciproducens MBEL55E	AE016827.1	Proteobacteria	6.34E-14	0.43	2314078	35.94605984	54.9147874	Avoidance	4.11E-20
Coxiella burnetii RSA 493	AE016828.2	Proteobacteria	2.78E-06	0.43	1995281	37.71258503	57.18573446	Avoidance	1.82E-21
Enterococcus faecalis V583	AE016830.1	Firmicutes	6.49E-11	0.38	3218031	32.98383574	53.12014902	Avoidance	6.52E-23
Pseudomonas syringae pv. tomato str. DC3000	AE016853.1	Proteobacteria	0.7055215164	0.58	6397126	46.95071011	56.46000947	Non-Avoidance	5.88E-10
Bacillus cereus ATCC 14579	AE016877.1	Firmicutes	4.16E-11	0.35	5411809	33.62831858	55.33386967	Avoidance	3.97E-22
Bacillus anthracis str. Ames	AE016879.1	Firmicutes	9.81E-11	0.35	5227293	33.54403708	55.61013047	Avoidance	1.31E-23
Mycobacterium avium subsp. paratuberculosis K-10	AE016958.1	Actinobacteria	0.9999999952	0.69	4829781	60.57486057	61.37801334	Non-Avoidance	0.09662322
Yersinia pestis biovar Microtus str. 91001	AE017042.1	Proteobacteria	3.29E-13	0.48	4595065	41.52046784	56.76226297	Avoidance	1.64E-21
Helicobacter hepaticus ATCC 51449	AE017125.1	Proteobacteria	5.06E-37	0.36	1799146	31.22629583	52.56627186	Avoidance	4.53E-20
Prochlorococcus marinus subsp. marinus str. CCMP1375	AE017126.1	Cyanobacteria	0.41901046	0.36	1751080	39.9494311	56.43507973	Non-Avoidance	4.00E-18
Haemophilus ducreyi 35000HP	AE017143.1	Proteobacteria	1.84E-23	0.38	1698955	34.69387755	53.44676373	Avoidance	1.19E-20
Geobacter sulfurreducens PCA	AE017180.1	Proteobacteria	0.04422603321	0.61	3814139	45.13274336	59.08436049	Avoidance	3.60E-19
Bacillus cereus ATCC 10987	AE017194.1	Firmicutes	1.15E-09	0.36	5224283	34.17614834	55.36480687	Avoidance	1.48E-21
Wolbachia endosymbiont of Drosophila melanogaster	AE017196.1	Proteobacteria	0.006088130667	0.35	1267782	28.91156463	50.5810518	Avoidance	1.03E-19
Rickettsia typhi str. Wilmington	AE017197.1	Proteobacteria	0.001090401653	0.29	1111496	25.2512014	51.47331548	Avoidance	7.25E-20
Lactobacillus johnsonii NCC 533	AE017198.1	Firmicutes	1.25E-17	0.35	1992676	30.99647266	52.23378703	Avoidance	1.01E-23
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	AE017220.1	Proteobacteria	4.62E-06	0.52	4755700	42.9000429	57.27149932	Avoidance	5.70E-19
Thermus thermophilus HB27	AE017221.1	Deinococcus-Thermus	5.11E-06	0.69	1894877	58.65992415	66.73244532	Avoidance	8.98E-11
Brucella abortus bv. 1 str. 9-941	AE017223.1	Proteobacteria	2.83E-11	0.57	2124241	47.83354783	59.38233701	Avoidance	2.58E-15
Bacillus anthracis str. Sterne	AE017225.1	Firmicutes	2.87E-08	0.35	5228663	33.50189633	55.64834497	Avoidance	6.86E-24
Treponema denticola ATCC 35405	AE017226.1	Spirochaetes	1.23E-13	0.38	2843201	32.56802721	54.55168867	Avoidance	9.86E-22
Listeria monocytogenes serotype 4b str. F2365	AE017262.2	Firmicutes	3.14E-05	0.38	2905187	33.20802005	54.95363592	Avoidance	9.89E-22
Methylococcus capsulatus str. Bath	AE017282.2	Proteobacteria	0.9302235153	0.64	3304561	50.52675938	59.10285902	Non-Avoidance	1.27E-09
Propionibacterium acnes KPA171202	AE017283.1	Actinobacteria	0.9084052942	0.6	2560265	55.5984556	60.65888095	Non-Avoidance	1.74E-07
Desulfovibrio vulgaris str. Hildenborough	AE017285.1	Proteobacteria	0.2040662193	0.63	3570858	49.13611462	59.14131812	Non-Avoidance	1.54E-13
Wolbachia endosymbiont strain TRS of Brugia malayi	AE017321.1	Proteobacteria	0.1195697385	0.34	1080084	31.07993197	49.84006397	Non-Avoidance	2.87E-18
Bacillus licheniformis ATCC 14580	AE017333.1	Firmicutes	0.0001285110902	0.46	4222645	36.99957859	56.50868878	Avoidance	7.81E-22
Bacillus anthracis str. 'Ames Ancestor'	AE017334.2	Firmicutes	2.24E-09	0.35	5227419	33.50189633	55.61866749	Avoidance	1.24E-23
Idiomarina loihiensis L2TR	AE017340.1	Proteobacteria	0.064440828	0.47	2839318	40.35087719	57.53968254	Non-Avoidance	1.06E-21
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	AE017354.1	Proteobacteria	0.001173775655	0.38	3397754	34.44873445	56.53310105	Avoidance	9.59E-23
Bacillus thuringiensis serovar konkukian str. 97-27	AE017355.1	Firmicutes	1.84E-07	0.35	5237682	33.58617783	55.17924996	Avoidance	1.43E-21
Francisella tularensis subsp. tularensis SCHU S4	AJ749949.2	Proteobacteria	0.004150812833	0.32	1892775	28.1037415	53.2968108	Avoidance	2.36E-20
Staphylococcus aureus RF122	AJ938182.1	Firmicutes	5.68E-09	0.33	2742531	31.46258503	51.98797193	Avoidance	2.51E-21
Dehalococcoides sp. CBDB1	AJ965256.1	Chloroflexi	1.77E-08	0.47	1395502	36.58008658	57.36217725	Avoidance	1.60E-23
Bacillus subtilis subsp. subtilis str. 168	AL009126.3	Firmicutes	0.0006273708064	0.44	4215606	36.13199666	55.74630424	Avoidance	3.05E-22
Campylobacter jejuni subsp. jejuni NCTC 11168	AL111168.1	Proteobacteria	3.47E-11	0.31	1641481	27.85503582	51.73228346	Avoidance	2.22E-20
Mycobacterium tuberculosis H37Rv	AL123456.3	Actinobacteria	0.9999253958	0.66	4411532	59.39393939	61.2716763	Non-Avoidance	0.0261646
Neisseria meningitidis Z2491	AL157959.1	Proteobacteria	0.06660782659	0.52	2184406	39.84962406	56.94046214	Non-Avoidance	1.40E-19
Yersinia pestis CO92	AL590842.1	Proteobacteria	3.76E-10	0.48	4653728	41.0192147	56.74659144	Avoidance	2.08E-21
Sinorhizobium meliloti 1021	AL591688.1	Proteobacteria	0.01123531955	0.63	3654135	49.43109987	59.78692669	Avoidance	1.36E-14
Ralstonia solanacearum GMI1000	AL646052.1	Proteobacteria	0.002079952273	0.67	3716413	52.42272348	58.9436382	Avoidance	7.05E-09
Lactobacillus plantarum WCFS1	AL935263.2	Firmicutes	0.1824784412	0.44	3308273	36.06060606	52.94820122	Non-Avoidance	4.93E-23
Nitrosomonas europaea ATCC 19718	AL954747.1	Proteobacteria	0.003964302792	0.51	2812094	39.34837093	56.81355932	Avoidance	1.69E-19
Xanthomonas euvesicatoria	AM039952.1	Proteobacteria	0.4024717498	0.65	5178466	51.83312263	58.98523406	Non-Avoidance	4.16E-08
Brucella melitensis biovar Abortus 2308	AM040264.1	Proteobacteria	6.02E-10	0.57	2121359	47.66194766	59.38233701	Avoidance	6.72E-15
Bordetella avium 197N	AM167904.1	Proteobacteria	0.0005498161394	0.62	3732255	48.07852966	58.36120401	Avoidance	1.79E-13
Lawsonia intracellularis PHE/MN1-00	AM180252.1	Proteobacteria	0.06809878495	0.33	1457619	31.71521036	54.9592632	Non-Avoidance	4.12E-22
Clostridium difficile 630	AM180355.1	Firmicutes	3.52E-07	0.29	4290252	26.81704261	53.94687617	Avoidance	1.73E-21
Pseudomonas fluorescens SBW25	AM181176.4	Proteobacteria	0.4697537521	0.61	6722539	47.32664996	56.55842089	Non-Avoidance	1.30E-09
Francisella tularensis subsp. holarctica LVS	AM233362.1	Proteobacteria	0.0001700069707	0.32	1895994	28.1037415	53.27932099	Avoidance	1.31E-20
Rhizobium leguminosarum bv. viciae 3841	AM236080.1	Proteobacteria	0.3629776283	0.61	5057142	48.89455782	59.07759883	Non-Avoidance	5.07E-14
Ralstonia eutropha H16	AM260479.1	Proteobacteria	0.0005486024636	0.66	4052032	50.79365079	58.56485427	Avoidance	1.90E-10
Helicobacter acinonychis str. Sheeba	AM260522.1	Proteobacteria	1.48E-09	0.38	1553927	33.07359307	52.05479452	Avoidance	3.16E-20
Bartonella tribocorum CIP 105476	AM260525.1	Proteobacteria	0.1414330223	0.39	2619061	37.75510204	56.42151482	Non-Avoidance	7.65E-20
Listeria welshimeri serovar 6b str. SLCC5334	AM263198.1	Firmicutes	1.40E-06	0.36	2814130	33.03571429	55.00244021	Avoidance	2.97E-21
Francisella tularensis subsp. tularensis FSC198	AM286280.1	Proteobacteria	0.004150812833	0.32	1892616	28.1037415	53.2968108	Avoidance	2.36E-20
Yersinia enterocolitica subsp. enterocolitica 8081	AM286415.1	Proteobacteria	6.99E-08	0.47	4615899	41.18629908	56.52239709	Avoidance	1.19E-20
Alcanivorax borkumensis SK2	AM286690.1	Proteobacteria	7.91E-05	0.55	3120143	47.49373434	57.81064083	Avoidance	8.90E-14
Streptococcus pyogenes str. Manfredo	AM295007.1	Firmicutes	8.30E-45	0.39	1841271	31.49847095	52.52734817	Avoidance	8.32E-19
Staphylococcus carnosus subsp. carnosus TM300	AM295250.1	Firmicutes	1.26E-14	0.35	2566424	31.98482933	52.9047619	Avoidance	8.92E-23
Flavobacterium psychrophilum JIP02/86	AM398681.1	Bacteroidetes	0.07264122838	0.33	2861988	27.84212784	51.54597234	Non-Avoidance	2.31E-19
Azoarcus sp. BH72	AM406670.1	Proteobacteria	0.3035019795	0.68	4376040	51.58730159	59.77372722	Non-Avoidance	4.47E-10
Lactococcus lactis subsp. cremoris MG1363	AM406671.1	Firmicutes	3.55E-18	0.36	2529478	30.59964727	52.19520432	Avoidance	8.10E-21
Mycobacterium bovis BCG str. Pasteur 1173P2	AM408590.1	Actinobacteria	0.9998286555	0.66	4374522	59.39393939	61.2716763	Non-Avoidance	0.02923358
Clostridium botulinum A str. ATCC 3502	AM412317.1	Firmicutes	2.78E-05	0.28	3886916	28.48562849	54.33339009	Avoidance	3.22E-23
Saccharopolyspora erythraea NRRL 2338	AM420293.1	Actinobacteria	0.7646830486	0.71	8212805	63.86054422	62.20512821	Non-Avoidance	0.5366435
Neisseria meningitidis FAM18	AM421808.1	Proteobacteria	0.5918766192	0.52	2194961	40.85213033	56.82724252	Non-Avoidance	8.51E-19
Orientia tsutsugamushi str. Boryong	AM494475.1	Proteobacteria	0.001073945654	0.31	2127051	27.68135292	50.45851994	Avoidance	1.38E-18
Clavibacter michiganensis subsp. michiganensis NCPPB 382	AM711867.1	Actinobacteria	0.00017947303	0.73	3297891	60.4032604	60.23991655	Avoidance	0.3660878
Stenotrophomonas maltophilia K279a	AM743169.1	Proteobacteria	1.51E-09	0.66	4851126	53.72945638	58.9034889	Avoidance	5.88E-07
Sorangium cellulosum 'So ce 56'	AM746676.1	Proteobacteria	0.08501798479	0.71	13033779	57.90816327	61.72661871	Non-Avoidance	7.04E-05
Burkholderia cenocepacia J2315	AM747720.1	Proteobacteria	3.94E-06	0.67	3870082	49.89464812	58.95259449	Avoidance	4.00E-10
Clavibacter michiganensis subsp. sepedonicus	AM849034.1	Actinobacteria	0.0001460390852	0.73	3258645	60.36036036	60.29207232	Avoidance	0.4383042
Chlamydia trachomatis 434/Bu	AM884176.1	Chlamydiae	6.02E-05	0.41	1038842	37.92517007	52.13800697	Avoidance	8.24E-17
Chlamydia trachomatis L2b/UCH-1/proctitis	AM884177.2	Chlamydiae	7.35E-05	0.41	1038863	37.92517007	52.10130299	Avoidance	8.24E-17
Neisseria meningitidis alpha14	AM889136.1	Proteobacteria	0.273869544	0.52	2145295	40.55973267	56.78866588	Non-Avoidance	2.08E-18
Gluconacetobacter diazotrophicus PAl 5	AM889285.1	Proteobacteria	0.1012114103	0.66	3944163	57.31142014	60.87827988	Non-Avoidance	0.0005946611
Bordetella petrii	AM902716.1	Proteobacteria	1.77E-09	0.65	5287950	51.4619883	59.07886017	Avoidance	1.16E-07
Xanthomonas campestris pv. campestris	AM920689.1	Proteobacteria	0.9581251167	0.65	5079002	53.05520438	59.12879384	Non-Avoidance	3.30E-06
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	AM933172.1	Proteobacteria	1.24E-12	0.52	4685848	42.48120301	57.33124019	Avoidance	2.73E-18
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	AM933173.1	Proteobacteria	9.99E-09	0.52	4658697	42.5647452	57.3335379	Avoidance	3.47E-18
Corynebacterium urealyticum DSM 7109	AM942444.1	Actinobacteria	0.3833603475	0.64	2369219	51.43715144	59.28122192	Non-Avoidance	6.41E-09
Proteus mirabilis	AM942759.1	Proteobacteria	1.46E-29	0.39	4063606	37.92815372	55.66279596	Avoidance	6.15E-24
Streptococcus uberis 0140J	AM946015.1	Firmicutes	9.93E-39	0.37	1852352	30.47619048	52.14689266	Avoidance	1.70E-19
Streptococcus suis P1/7	AM946016.1	Firmicutes	1.28E-41	0.41	2007491	31.27413127	53.06630893	Avoidance	1.34E-18
Escherichia coli BL21(DE3)	AM946981.2	Proteobacteria	2.92E-17	0.51	4558947	41.35338346	57.53732541	Avoidance	7.38E-20
Staphylococcus aureus subsp. aureus S0385	AM990992.1	Firmicutes	1.55E-10	0.33	2872582	31.37755102	52.07989435	Avoidance	1.07E-21
Wolbachia endosymbiont of Culex quinquefasciatus Pel	AM999887.1	Proteobacteria	0.04900015341	0.34	1482455	28.57142857	50.25799794	Avoidance	2.31E-19
Nocardia farcinica IFM 10152	AP006618.1	Actinobacteria	0.000118735159	0.71	6021225	59.60884354	62.01475778	Avoidance	0.01424089
Bacillus clausii KSM-K16	AP006627.1	Firmicutes	4.56E-13	0.45	4303871	37.92815372	56.63755459	Avoidance	2.82E-24
Staphylococcus haemolyticus JCSC1435	AP006716.1	Firmicutes	1.12E-10	0.33	2685015	31.54761905	52.68215971	Avoidance	7.22E-21
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	AP006725.1	Proteobacteria	0.00500321834	0.58	5248520	43.06599833	57.32841565	Avoidance	5.42E-19
Symbiobacterium thermophilum IAM 14863	AP006840.1	Firmicutes	0.2143025568	0.69	3566135	56.76020408	61.38946281	Non-Avoidance	1.99E-05
Bacteroides fragilis YCH46	AP006841.1	Bacteroidetes	1.16E-05	0.43	5277274	30.39965986	53.46479912	Avoidance	7.67E-22
Chlamydophila felis Fe/C-56	AP006861.1	Chlamydiae	4.86E-15	0.39	1166239	35.69283569	50.94611642	Avoidance	1.22E-16
Bacillus cereus NC7401	AP007209.1	Firmicutes	4.76E-09	0.36	5221581	33.92330383	55.18970416	Avoidance	3.56E-21
Magnetospirillum magneticum AMB-1	AP007255.1	Proteobacteria	0.9976380856	0.65	4967148	55.78231293	60.51621904	Non-Avoidance	0.0001344477
Lactobacillus reuteri JCM 1112	AP007281.1	Firmicutes	4.81E-11	0.39	2039414	34.37229437	52.70119522	Avoidance	2.77E-21
Thermus thermophilus HB8	AP008226.1	Deinococcus-Thermus	0.0005388036699	0.7	1849742	58.40707965	66.74888999	Avoidance	2.26E-11
Xanthomonas oryzae pv. oryzae MAFF 311018	AP008229.1	Proteobacteria	0.02013583155	0.64	4940217	50.94816688	59.17394758	Avoidance	3.45E-10
Desulfitobacterium hafniense Y51	AP008230.1	Firmicutes	0.3411865229	0.47	5727534	39.64076859	56.39409776	Non-Avoidance	2.53E-21
Synechococcus elongatus PCC 6301	AP008231.1	Cyanobacteria	0.9784083633	0.55	2696255	50.61104088	57.11597674	Non-Avoidance	8.64E-09
Sodalis glossinidius str. 'morsitans'	AP008232.1	Proteobacteria	0.04002854799	0.55	4171146	42.52001686	57.21956175	Avoidance	1.56E-20
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	AP008934.1	Firmicutes	3.95E-13	0.33	2516575	32.05782313	52.94512502	Avoidance	8.38E-22
Lactobacillus fermentum IFO 3956	AP008937.1	Firmicutes	2.71E-12	0.51	2098685	38.87445887	54.17225201	Avoidance	1.29E-20
Brevibacillus brevis NBRC 100599	AP008955.1	Firmicutes	0.07056379775	0.47	6296436	40.81035923	57.35674425	Non-Avoidance	1.30E-24
Rhodococcus erythropolis PR4	AP008957.1	Actinobacteria	0.04821226816	0.62	6516310	56.37755102	60.52719386	Avoidance	9.31E-05
Finegoldia magna ATCC 29328	AP008971.1	Firmicutes	3.13E-09	0.32	1797577	25.93537415	51.34670487	Avoidance	2.30E-20
Orientia tsutsugamushi str. Ikeda	AP008981.1	Proteobacteria	0.08291022974	0.31	2008987	27.49326146	50.43719343	Non-Avoidance	6.15E-19
Corynebacterium glutamicum R	AP009044.1	Actinobacteria	3.37E-08	0.54	3314179	47.61904762	58.12588905	Avoidance	1.25E-12
Escherichia coli str. K-12 substr. W3110	AP009048.1	Proteobacteria	5.44E-23	0.51	4646332	41.39515455	57.41085271	Avoidance	7.37E-20
Clostridium kluyveri NBRC 12016	AP009049.1	Firmicutes	0.0006451560701	0.32	3896121	30.60606061	53.95074785	Avoidance	1.21E-25
Kocuria rhizophila DC2201	AP009152.1	Actinobacteria	0.3407518189	0.71	2697540	58.35497836	60.45177483	Non-Avoidance	0.02094363
Gemmatimonas aurantiaca T-27	AP009153.1	Gemmatimonadetes	0.998581923	0.64	4636964	56.33503401	61.40150278	Non-Avoidance	1.28E-06
Nitratiruptor sp. SB155-2	AP009178.1	Proteobacteria	2.22E-12	0.4	1877931	34.97682259	59.11394781	Avoidance	1.26E-21
Sulfurovum sp. NBC37-1	AP009179.1	Proteobacteria	1.10E-05	0.44	2562277	31.77412558	54.33755434	Avoidance	2.76E-21
Escherichia coli SE11	AP009240.1	Proteobacteria	1.23E-20	0.51	4887515	41.52046784	57.47886241	Avoidance	1.99E-20
Candidatus Vesicomyosocius okutanii HA	AP009247.1	Proteobacteria	0.001422684817	0.32	1022154	27.95414462	51.12262522	Avoidance	7.96E-21
Bifidobacterium adolescentis ATCC 15703	AP009256.1	Actinobacteria	0.1975791671	0.59	2089645	49.9781564	58.92585712	Non-Avoidance	2.50E-10
Staphylococcus aureus subsp. aureus Mu3	AP009324.1	Firmicutes	1.06E-07	0.33	2880168	31.53153153	51.99665831	Avoidance	3.87E-21
Lactococcus garvieae ATCC 49156	AP009332.1	Firmicutes	6.18E-15	0.39	1950135	30.64935065	52.0777027	Avoidance	1.82E-20
Lactococcus garvieae Lg2	AP009333.1	Firmicutes	2.01E-14	0.39	1963964	30.64935065	51.97537199	Avoidance	3.84E-20
Staphylococcus aureus subsp. aureus str. Newman	AP009351.1	Firmicutes	2.80E-07	0.33	2878897	31.50510204	51.89640769	Avoidance	2.70E-21
