Species_Name	Taxon_ID	EMBL	Phylum	wxBothSide.p.value	wxGreater.p.value(AVOIDANCEif<0.05)	wxLess.p.value	GENOME_GC	GENOME_Size	GC_Core_1.21_CDS%	GC_Rfam_Core%	Avoidance_Group	Intrinsic
Escherichia coli O157:H7 str. EDL933	155864	AE005174.2	Proteobacteria	1.03488229824749e-15	5.17441149123744e-16	1	0.50	5528445	41.5969899666	57.4543543938	Avoidance	8.373183e-24
Lactococcus lactis subsp. lactis Il1403	272623	AE005176.1	Firmicutes	1.07874142625566e-19	5.39370713127831e-20	1	0.35	2365589	31.0596310596	52.3874721889	Avoidance	2.481251e-21
Streptococcus pneumoniae TIGR4	170187	AE005672.3	Firmicutes	3.51883402649417e-37	1.75941701324708e-37	1	0.40	2160842	31.0179117519	53.241613268	Avoidance	8.780884e-19
Caulobacter crescentus CB15	190650	AE005673.1	Proteobacteria	0.237661118418109	0.88116944927055	0.118830559209054	0.67	4016947	56.4745196324	59.9855412977	Non-Avoidance	0.0004131267
Shigella flexneri 2a str. 301	198214	AE005674.2	Proteobacteria	6.56027227216105e-18	3.28013613608053e-18	1	0.51	4607202	41.8964076859	57.2284957479	Avoidance	3.176246e-21
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	AE006468.1	Proteobacteria	0.00494921905748524	0.00247460952874262	0.997525390746321	0.52	4857432	42.3558897243	57.284144427	Avoidance	8.495786e-19
Chlorobium tepidum TLS	194439	AE006470.1	Chlorobi	0.000372595019816454	0.999813702517296	0.000186297509908227	0.57	2154946	42.1407501054	55.0950196592	Non-Avoidance	1.63639e-17
Rickettsia conorii str. Malish 7	272944	AE006914.1	Proteobacteria	0.00122318735266083	0.000611593676330414	0.999388406457138	0.32	1268755	28.4403669725	52.0674427941	Avoidance	1.401887e-18
Streptococcus pneumoniae R6	171101	AE007317.1	Firmicutes	2.26311301260118e-25	1.13155650630059e-25	1	0.40	2038615	32.4242424242	53.249235474	Avoidance	5.897829e-17
Agrobacterium tumefaciens str. C58	176299	AE007869.2	Proteobacteria	0.0355689602185788	0.0177844801092894	0.982215522449488	0.59	2841580	47.1471471471	58.7628865979	Avoidance	8.779108e-15
Thermoanaerobacter tengcongensis MB4	273068	AE008691.1	Firmicutes	1.83742023515834e-07	9.18710117579171e-08	0.999999908129003	0.38	2689445	38.0952380952	59.4920899251	Avoidance	1.98985e-24
Zymomonas mobilis subsp. mobilis ZM4	264203	AE008692.2	Proteobacteria	6.51130555943666e-05	3.25565277971833e-05	0.999967443478254	0.46	2056363	46.0317460317	58.0183486239	Avoidance	3.976328e-15
Brucella melitensis bv. 1 str. 16M	224914	AE008917.1	Proteobacteria	3.29458235089036e-10	1.64729117544518e-10	0.999999999835271	0.57	2117144	49.6782496782	59.3269934162	Avoidance	1.608218e-10
Xanthomonas campestris pv. campestris str. ATCC 33913	190485	AE008922.1	Proteobacteria	0.466680480257124	0.766659770966495	0.233340240128562	0.65	5076188	53.0552043826	59.1445195786	Non-Avoidance	3.513032e-06
Xanthomonas axonopodis pv. citri str. 306	190486	AE008923.1	Proteobacteria	0.165112200145131	0.917443905445497	0.0825561000725657	0.65	5175554	52.3388116308	59.2115474158	Non-Avoidance	2.901205e-08
Chlamydophila pneumoniae TW-183	182082	AE009440.1	Chlamydiae	6.99120032511175e-15	3.49560016255587e-15	0.999999999999997	0.41	1225935	35.2040816327	50.7796734544	Avoidance	2.719172e-17
Xylella fastidiosa Temecula1	183190	AE009442.1	Proteobacteria	0.110763864208603	0.0553819321043015	0.944618072186092	0.52	2519802	44.9220396123	57.8343158548	Non-Avoidance	4.79606e-17
Streptococcus agalactiae 2603V/R	208435	AE009948.1	Firmicutes	2.41119032800242e-28	1.20559516400121e-28	1	0.36	2160267	30.3189165574	52.2531160115	Avoidance	5.404352e-19
Streptococcus pyogenes MGAS8232	186103	AE009949.1	Firmicutes	5.05222661800448e-46	2.52611330900224e-46	1	0.39	1895017	31.746031746	52.5469168901	Avoidance	2.242555e-18
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	AE009951.2	Fusobacteria	0.000576077281471296	0.000288038640735648	0.999711961423865	0.27	2174500	27.1557271557	50.6698660268	Avoidance	2.059159e-20
Yersinia pestis KIM10+	187410	AE009952.1	Proteobacteria	2.005771459317e-10	1.0028857296585e-10	0.999999999899711	0.48	4600755	41.6988416988	56.7309199185	Avoidance	1.001336e-20
Leptospira interrogans serovar Lai str. 56601	189518	AE010300.2	Spirochaetes	0.000415600729096672	0.000207800364548336	0.999792199680255	0.35	4338762	35.5844155844	53.9009824697	Avoidance	7.428408e-20
Buchnera aphidicola str. Sg (Schizaphis graminum)	198804	AE013218.1	Proteobacteria	1.4352281233093e-09	7.17614061654649e-10	0.999999999282386	0.25	641454	26.0504201681	49.7321959929	Avoidance	9.552225e-19
Xanthomonas oryzae pv. oryzae KACC10331	291331	AE013598.1	Proteobacteria	4.2143617334016e-09	2.1071808667008e-09	0.99999999789282	0.64	4941439	52.8445006321	59.1804320203	Avoidance	9.171014e-07
Shigella flexneri 2a str. 2457T	198215	AE014073.1	Proteobacteria	1.30494252898214e-17	6.52471264491069e-18	1	0.51	4599354	41.9381787803	57.3715717667	Avoidance	1.205158e-21
Streptococcus pyogenes MGAS315	198466	AE014074.1	Firmicutes	6.08377843070886e-23	3.04188921535443e-23	1	0.39	1900521	32.8527741372	52.4762089726	Avoidance	4.045044e-17
Escherichia coli CFT073	199310	AE014075.1	Proteobacteria	2.26541749206866e-14	1.13270874603433e-14	0.999999999999989	0.50	5231428	41.9562419562	57.6698155646	Avoidance	1.243584e-20
Streptococcus mutans UA159	210007	AE014133.2	Firmicutes	4.63456017270957e-33	2.31728008635478e-33	1	0.37	2032925	31.2169312169	53.007925072	Avoidance	7.396817e-20
Tropheryma whipplei str. Twist	203267	AE014184.1	Actinobacteria	4.3028822288577e-10	2.15144111442885e-10	0.999999999784856	0.46	927303	45.6531236348	59.6085106383	Avoidance	8.406083e-16
Brucella suis 1330	204722	AE014291.4	Proteobacteria	1.15901617210421e-11	5.79508086052106e-12	0.999999999994205	0.57	2107794	47.619047619	59.2833271444	Avoidance	2.531021e-14
Bifidobacterium longum NCC2705	206672	AE014295.3	Actinobacteria	3.85377651465952e-12	1.92688825732976e-12	0.999999999998073	0.60	2256640	49.9332443258	59.4530722485	Avoidance	5.517678e-14
Shewanella oneidensis MR-1	211586	AE014299.1	Proteobacteria	2.66638131546845e-12	1.33319065773423e-12	0.999999999998667	0.46	4969803	39.5701643489	56.512605042	Avoidance	1.419654e-23
Salmonella enterica subsp. enterica serovar Typhi str. Ty2	209261	AE014613.1	Proteobacteria	0.0033794854130931	0.00168974270654655	0.99831025748802	0.52	4791961	41.8546365915	57.3381521056	Avoidance	3.523035e-19
Mycoplasma gallisepticum str. R(low)	710127	AE015450.2	Tenericutes	0.15052709214713	0.0752635460735651	0.924736465769498	0.31	1012800	26.9523809524	48.4251076365	Non-Avoidance	8.098931e-18
Pseudomonas putida KT2440	160488	AE015451.1	Proteobacteria	0.504769160492904	0.747615433566947	0.252384580246452	0.62	6181863	48.7568478719	56.8376787216	Non-Avoidance	3.381252e-09
Porphyromonas gingivalis W83	242619	AE015924.1	Bacteroidetes	4.60621204910136e-13	2.30310602455068e-13	0.99999999999977	0.48	2343476	36.6402116402	54.4061302682	Avoidance	1.407427e-19
Chlamydophila caviae GPIC	227941	AE015925.1	Chlamydiae	2.75738448731918e-12	1.37869224365959e-12	0.999999999998621	0.39	1173390	35.7786357786	51.1666977786	Avoidance	1.326117e-17
Bacteroides thetaiotaomicron VPI-5482	226186	AE015928.1	Bacteroidetes	0.0208416089030021	0.010420804451501	0.989579196798327	0.43	6260361	30.612244898	53.2310873686	Avoidance	2.851586e-23
Staphylococcus epidermidis ATCC 12228	176280	AE015929.1	Firmicutes	4.67575051238397e-19	2.33787525619199e-19	1	0.32	2499279	31.5744315744	52.4493378012	Avoidance	1.346799e-22
Vibrio vulnificus CMCP6	216895	AE016795.3	Proteobacteria	2.40150881750943e-25	1.20075440875471e-25	1	0.46	3281866	38.9724310777	56.2860613422	Avoidance	1.234566e-23
Leifsonia xyli subsp. xyli str. CTCB07	281090	AE016822.1	Actinobacteria	0.00117012426143446	0.999414937960584	0.000585062130717232	0.68	2584158	60.0600600601	60.2296450939	Non-Avoidance	0.3076366
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	267671	AE016823.1	Spirochaetes	0.0586056504197923	0.0293028252098962	0.970697178596512	0.35	4277185	36.1904761905	53.9009824697	Avoidance	1.260749e-19
Chromobacterium violaceum ATCC 12472	243365	AE016825.1	Proteobacteria	0.0153163610417887	0.00765818052089436	0.992341820156944	0.65	4751080	47.9532163743	58.562555457	Avoidance	1.50272e-14
Mannheimia succiniciproducens MBEL55E	221988	AE016827.1	Proteobacteria	1.26759564192222e-13	6.33797820961111e-14	0.999999999999937	0.43	2314078	35.9460598399	54.9147873989	Avoidance	4.111902e-20
Coxiella burnetii RSA 493	227377	AE016828.2	Proteobacteria	5.56760849031288e-06	2.78380424515644e-06	0.999997216196352	0.43	1995281	37.712585034	57.1857344633	Avoidance	1.820973e-21
Enterococcus faecalis V583	226185	AE016830.1	Firmicutes	1.29846146787438e-10	6.49230733937192e-11	0.999999999935077	0.38	3218031	32.9838357361	53.120149022	Avoidance	6.515563e-23
Pseudomonas syringae pv. tomato str. DC3000	223283	AE016853.1	Proteobacteria	0.58895699498096	0.705521516350721	0.29447849749048	0.58	6397126	46.9507101086	56.4600094652	Non-Avoidance	5.881701e-10
Bacillus cereus ATCC 14579	226900	AE016877.1	Firmicutes	8.32772210643394e-11	4.16386105321697e-11	0.999999999958361	0.35	5411809	33.6283185841	55.3338696702	Avoidance	3.972858e-22
Bacillus anthracis str. Ames	198094	AE016879.1	Firmicutes	1.96119133907904e-10	9.80595669539520e-11	0.99999999990194	0.35	5227293	33.5440370839	55.6101304682	Avoidance	1.311768e-23
Mycobacterium avium subsp. paratuberculosis K-10	262316	AE016958.1	Actinobacteria	9.58245550796973e-09	0.999999995208773	4.79122775398487e-09	0.69	4829781	60.5748605749	61.3780133356	Non-Avoidance	0.09662322
Yersinia pestis biovar Microtus str. 91001	229193	AE017042.1	Proteobacteria	6.58107355149634e-13	3.29053677574817e-13	0.999999999999671	0.48	4595065	41.5204678363	56.7622629682	Avoidance	1.637711e-21
Helicobacter hepaticus ATCC 51449	235279	AE017125.1	Proteobacteria	1.01150273741875e-36	5.05751368709376e-37	1	0.36	1799146	31.2262958281	52.5662718556	Avoidance	4.533392e-20
Prochlorococcus marinus subsp. marinus str. CCMP1375	167539	AE017126.1	Cyanobacteria	0.838020920022564	0.419010460011282	0.58098955924253	0.36	1751080	39.9494310999	56.4350797267	Non-Avoidance	3.999683e-18
Haemophilus ducreyi 35000HP	233412	AE017143.1	Proteobacteria	3.67093492828219e-23	1.8354674641411e-23	1	0.38	1698955	34.693877551	53.4467637257	Avoidance	1.194855e-20
Geobacter sulfurreducens PCA	243231	AE017180.1	Proteobacteria	0.0884520664176574	0.0442260332088287	0.955773970376542	0.61	3814139	45.1327433628	59.084360493	Avoidance	3.601318e-19
Bacillus cereus ATCC 10987	222523	AE017194.1	Firmicutes	2.29415714931772e-09	1.14707857465886e-09	0.999999998852922	0.36	5224283	34.1761483354	55.364806867	Avoidance	1.482073e-21
Wolbachia endosymbiont of Drosophila melanogaster	163164	AE017196.1	Proteobacteria	0.0121762613337525	0.00608813066687624	0.993911870289459	0.35	1267782	28.9115646259	50.5810518022	Avoidance	1.03307e-19
Rickettsia typhi str. Wilmington	257363	AE017197.1	Proteobacteria	0.00218080330667105	0.00109040165333552	0.998909598573897	0.29	1111496	25.251201398	51.473315475	Avoidance	7.24844e-20
Lactobacillus johnsonii NCC 533	257314	AE017198.1	Firmicutes	2.49349780285278e-17	1.24674890142639e-17	1	0.35	1992676	30.9964726631	52.2337870296	Avoidance	1.012645e-23
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	321314	AE017220.1	Proteobacteria	9.23520407066229e-06	4.61760203533115e-06	0.999995382398681	0.52	4755700	42.9000429	57.2714993246	Avoidance	5.700422e-19
Thermus thermophilus HB27	262724	AE017221.1	Deinococcus-Thermus	1.02104004738648e-05	5.1052002369324e-06	0.999994894800668	0.69	1894877	58.6599241466	66.7324453215	Avoidance	8.983275e-11
Brucella abortus bv. 1 str. 9-941	262698	AE017223.1	Proteobacteria	5.65678214751537e-11	2.82839107375769e-11	0.999999999971716	0.57	2124241	47.8335478335	59.3823370056	Avoidance	2.577857e-15
Bacillus anthracis str. Sterne	260799	AE017225.1	Firmicutes	5.73578664746615e-08	2.86789332373308e-08	0.999999971321073	0.35	5228663	33.5018963338	55.6483449742	Avoidance	6.858037e-24
Treponema denticola ATCC 35405	243275	AE017226.1	Spirochaetes	2.46583927478525e-13	1.23291963739262e-13	0.999999999999877	0.38	2843201	32.5680272109	54.5516886679	Avoidance	9.856438e-22
Listeria monocytogenes serotype 4b str. F2365	265669	AE017262.2	Firmicutes	6.27553755370929e-05	3.13776877685464e-05	0.999968622318075	0.38	2905187	33.2080200501	54.95363592	Avoidance	9.893417e-22
Methylococcus capsulatus str. Bath	243233	AE017282.2	Proteobacteria	0.13955297991164	0.930223515333603	0.0697764899558202	0.64	3304561	50.5267593763	59.1028590207	Non-Avoidance	1.270359e-09
Propionibacterium acnes KPA171202	267747	AE017283.1	Actinobacteria	0.183189426161859	0.908405294227981	0.0915947130809294	0.60	2560265	55.5984555985	60.6588809482	Non-Avoidance	1.742269e-07
Desulfovibrio vulgaris str. Hildenborough	882	AE017285.1	Proteobacteria	0.408132438620397	0.204066219310198	0.795933790681668	0.63	3570858	49.1361146228	59.1413181242	Non-Avoidance	1.544665e-13
Wolbachia endosymbiont strain TRS of Brugia malayi	292805	AE017321.1	Proteobacteria	0.239139476965728	0.119569738482864	0.880430273013985	0.34	1080084	31.0799319728	49.8400639744	Non-Avoidance	2.866565e-18
Bacillus licheniformis ATCC 14580	279010	AE017333.1	Firmicutes	0.000257022180351399	0.000128511090175699	0.999871488929607	0.46	4222645	36.9995785925	56.5086887836	Avoidance	7.806081e-22
Bacillus anthracis str. 'Ames Ancestor'	261594	AE017334.2	Firmicutes	4.4886668064375e-09	2.24433340321875e-09	0.999999997755667	0.35	5227419	33.5018963338	55.6186674854	Avoidance	1.238779e-23
Idiomarina loihiensis L2TR	283942	AE017340.1	Proteobacteria	0.128881656006264	0.0644408280031318	0.935559177545155	0.47	2839318	40.350877193	57.5396825397	Non-Avoidance	1.06165e-21
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	272624	AE017354.1	Proteobacteria	0.0023475513109425	0.00117377565547125	0.998826224523339	0.38	3397754	34.4487344487	56.5331010453	Avoidance	9.591517e-23
Bacillus thuringiensis serovar konkukian str. 97-27	281309	AE017355.1	Firmicutes	3.67039066360253e-07	1.83519533180127e-07	0.99999981648051	0.35	5237682	33.586177834	55.1792499587	Avoidance	1.431134e-21
Francisella tularensis subsp. tularensis SCHU S4	177416	AJ749949.2	Proteobacteria	0.00830162566505806	0.00415081283252903	0.995849187900381	0.32	1892775	28.1037414966	53.2968108002	Avoidance	2.357094e-20
Staphylococcus aureus RF122	273036	AJ938182.1	Firmicutes	1.13560905334647e-08	5.67804526673233e-09	0.999999994321956	0.33	2742531	31.462585034	51.9879719345	Avoidance	2.51287e-21
Dehalococcoides sp. CBDB1	255470	AJ965256.1	Chloroflexi	3.53342799607286e-08	1.76671399803643e-08	0.999999982332864	0.47	1395502	36.5800865801	57.3621772505	Avoidance	1.595382e-23
Bacillus subtilis subsp. subtilis str. 168	224308	AL009126.3	Firmicutes	0.00125474161280561	0.000627370806402805	0.999372629281605	0.44	4215606	36.1319966583	55.7463042442	Avoidance	3.045005e-22
Campylobacter jejuni subsp. jejuni NCTC 11168	192222	AL111168.1	Proteobacteria	6.93529294163854e-11	3.46764647081927e-11	0.999999999965324	0.31	1641481	27.8550358196	51.7322834646	Avoidance	2.224478e-20
Mycobacterium tuberculosis H37Rv	83332	AL123456.3	Actinobacteria	0.000149208419197279	0.999925395803522	7.46042095986394e-05	0.66	4411532	59.3939393939	61.2716763006	Non-Avoidance	0.0261646
Neisseria meningitidis Z2491	122587	AL157959.1	Proteobacteria	0.133215653180805	0.0666078265904023	0.933392178925074	0.52	2184406	39.8496240602	56.9404621353	Non-Avoidance	1.397799e-19
Yersinia pestis CO92	214092	AL590842.1	Proteobacteria	7.52428116193785e-10	3.76214058096893e-10	0.999999999623786	0.48	4653728	41.0192147034	56.7465914433	Avoidance	2.075645e-21
Sinorhizobium meliloti 1021	266834	AL591688.1	Proteobacteria	0.0224706390952759	0.0112353195476379	0.988764681728198	0.63	3654135	49.4310998736	59.7869266883	Avoidance	1.364218e-14
Ralstonia solanacearum GMI1000	267608	AL646052.1	Proteobacteria	0.00415990454688521	0.00207995227344261	0.997920047990323	0.67	3716413	52.4227234754	58.9436382045	Avoidance	7.048683e-09
Lactobacillus plantarum WCFS1	220668	AL935263.2	Firmicutes	0.364956882484106	0.182478441242053	0.817521567730797	0.44	3308273	36.0606060606	52.9482012241	Non-Avoidance	4.92625e-23
Nitrosomonas europaea ATCC 19718	228410	AL954747.1	Proteobacteria	0.00792860558464869	0.00396430279232435	0.996035697694028	0.51	2812094	39.3483709273	56.813559322	Avoidance	1.691972e-19
Xanthomonas euvesicatoria	456327	AM039952.1	Proteobacteria	0.804943499621147	0.402471749810574	0.597528264215514	0.65	5178466	51.8331226296	58.9852340559	Non-Avoidance	4.15817e-08
Brucella melitensis biovar Abortus 2308	359391	AM040264.1	Proteobacteria	1.20491644714125e-09	6.02458223570623e-10	0.999999999397542	0.57	2121359	47.6619476619	59.3823370056	Avoidance	6.72209e-15
Bordetella avium 197N	360910	AM167904.1	Proteobacteria	0.0010996322787062	0.000549816139353098	0.999450183943471	0.62	3732255	48.0785296575	58.3612040134	Avoidance	1.793002e-13
Lawsonia intracellularis PHE/MN1-00	363253	AM180252.1	Proteobacteria	0.13619756990733	0.0680987849536648	0.931901222010052	0.33	1457619	31.715210356	54.9592631952	Non-Avoidance	4.117007e-22
Clostridium difficile 630	272563	AM180355.1	Firmicutes	7.04365195298702e-07	3.52182597649351e-07	0.9999996478175	0.29	4290252	26.8170426065	53.9468761691	Avoidance	1.727925e-21
Pseudomonas fluorescens SBW25	216595	AM181176.4	Proteobacteria	0.939507504299707	0.469753752149853	0.530246264312272	0.61	6722539	47.3266499582	56.5584208851	Non-Avoidance	1.296921e-09
Francisella tularensis subsp. holarctica LVS	376619	AM233362.1	Proteobacteria	0.000340013941351426	0.000170006970675713	0.999829993066836	0.32	1895994	28.1037414966	53.2793209877	Avoidance	1.308817e-20
Rhizobium leguminosarum bv. viciae 3841	216596	AM236080.1	Proteobacteria	0.725955256598729	0.362977628299364	0.637022388672744	0.61	5057142	48.8945578231	59.0775988287	Non-Avoidance	5.07123e-14
Ralstonia eutropha H16	381666	AM260479.1	Proteobacteria	0.00109720492713693	0.000548602463568467	0.999451397616569	0.66	4052032	50.7936507937	58.5648542696	Avoidance	1.896402e-10
Helicobacter acinonychis str. Sheeba	382638	AM260522.1	Proteobacteria	2.95944219480802e-09	1.47972109740401e-09	0.999999998520279	0.38	1553927	33.0735930736	52.0547945205	Avoidance	3.158473e-20
Bartonella tribocorum CIP 105476	382640	AM260525.1	Proteobacteria	0.282866044543788	0.141433022271894	0.85856698892127	0.39	2619061	37.7551020408	56.4215148189	Non-Avoidance	7.651332e-20
Listeria welshimeri serovar 6b str. SLCC5334	386043	AM263198.1	Firmicutes	2.79670026562431e-06	1.39835013281216e-06	0.999998601650176	0.36	2814130	33.0357142857	55.0024402147	Avoidance	2.971883e-21
Francisella tularensis subsp. tularensis FSC198	393115	AM286280.1	Proteobacteria	0.00830162566505806	0.00415081283252903	0.995849187900381	0.32	1892616	28.1037414966	53.2968108002	Avoidance	2.357094e-20
Yersinia enterocolitica subsp. enterocolitica 8081	393305	AM286415.1	Proteobacteria	1.39787235968494e-07	6.9893617984247e-08	0.999999930106395	0.47	4615899	41.186299081	56.5223970944	Avoidance	1.19428e-20
Alcanivorax borkumensis SK2	393595	AM286690.1	Proteobacteria	0.000158282431830338	7.91412159151688e-05	0.999920858797645	0.55	3120143	47.4937343358	57.8106408295	Avoidance	8.900104e-14
Streptococcus pyogenes str. Manfredo	160491	AM295007.1	Firmicutes	1.66071223517214e-44	8.30356117586072e-45	1	0.39	1841271	31.498470948	52.5273481705	Avoidance	8.319347e-19
Staphylococcus carnosus subsp. carnosus TM300	396513	AM295250.1	Firmicutes	2.51416163105279e-14	1.2570808155264e-14	0.999999999999987	0.35	2566424	31.98482933	52.9047619048	Avoidance	8.920895e-23
Flavobacterium psychrophilum JIP02/86	402612	AM398681.1	Bacteroidetes	0.145282456767697	0.0726412283838486	0.927358780684132	0.33	2861988	27.8421278421	51.5459723352	Non-Avoidance	2.305134e-19
Azoarcus sp. BH72	62928	AM406670.1	Proteobacteria	0.607003958960554	0.303501979480277	0.696498033377566	0.68	4376040	51.5873015873	59.7737272156	Non-Avoidance	4.474667e-10
Lactococcus lactis subsp. cremoris MG1363	416870	AM406671.1	Firmicutes	7.09243584171869e-18	3.54621792085934e-18	1	0.36	2529478	30.5996472663	52.1952043229	Avoidance	8.098084e-21
Mycobacterium bovis BCG str. Pasteur 1173P2	410289	AM408590.1	Actinobacteria	0.000342689061535506	0.999828655497867	0.000171344530767753	0.66	4374522	59.3939393939	61.2716763006	Non-Avoidance	0.02923358
Clostridium botulinum A str. ATCC 3502	413999	AM412317.1	Firmicutes	5.56774313133047e-05	2.78387156566524e-05	0.999972161289605	0.28	3886916	28.4856284856	54.3333900902	Avoidance	3.220918e-23
Saccharopolyspora erythraea NRRL 2338	405948	AM420293.1	Actinobacteria	0.470633928985025	0.764683048576546	0.235316964492513	0.71	8212805	63.8605442177	62.2051282051	Non-Avoidance	0.5366435
Neisseria meningitidis FAM18	272831	AM421808.1	Proteobacteria	0.816246793679178	0.59187661923023	0.408123396839589	0.52	2194961	40.8521303258	56.8272425249	Non-Avoidance	8.513971e-19
Orientia tsutsugamushi str. Boryong	357244	AM494475.1	Proteobacteria	0.00214789130840889	0.00107394565420445	0.998926054585349	0.31	2127051	27.681352915	50.4585199403	Avoidance	1.383119e-18
Clavibacter michiganensis subsp. michiganensis NCPPB 382	443906	AM711867.1	Actinobacteria	0.000358946060076696	0.000179473030038348	0.999820527000388	0.73	3297891	60.4032604033	60.2399165508	Avoidance	0.3660878
Stenotrophomonas maltophilia K279a	522373	AM743169.1	Proteobacteria	3.02945035727834e-09	1.51472517863917e-09	0.999999998485275	0.66	4851126	53.7294563843	58.903488899	Avoidance	5.876453e-07
Sorangium cellulosum 'So ce 56'	448385	AM746676.1	Proteobacteria	0.1700359695738	0.0850179847869	0.914982019860031	0.71	13033779	57.9081632653	61.726618705	Non-Avoidance	7.044435e-05
Burkholderia cenocepacia J2315	216591	AM747720.1	Proteobacteria	7.87556434592033e-06	3.93778217296016e-06	0.999996062218533	0.67	3870082	49.8946481247	58.9525944907	Avoidance	3.995845e-10
Clavibacter michiganensis subsp. sepedonicus	31964	AM849034.1	Actinobacteria	0.000292078170391312	0.000146039085195656	0.999853960939892	0.73	3258645	60.3603603604	60.2920723227	Avoidance	0.4383042
Chlamydia trachomatis 434/Bu	471472	AM884176.1	Chlamydiae	0.000120418392743885	6.02091963719425e-05	0.999939790816778	0.41	1038842	37.925170068	52.1380069738	Avoidance	8.242289e-17
